,neighborhood_overview
1409,"['belltown', 'is', 'a', 'vibrant', 'waterfront', 'in', 'downtown', 'with', 'a', 'plethora', 'of', 'restaurants,', 'nightclubs', 'and', 'unique', 'boutiques.', ""it's"", 'the', 'hip', 'area', 'of', 'downtown.', 'close', 'to', 'everything', 'with', 'a', 'score', 'of', '98%.', 'the', 'well', 'known', 'macrina', 'bakery', 'is', 'right', 'downstairs', 'in', 'the', 'same', 'building', '(named', 'one', 'of', 'the', 'top', '10', 'best', 'bakeries', 'in', 'the', 'u.s.', 'by', 'fodors);', 'el', 'gaucho', 'is', 'across', 'the', 'street', '(northwest', 'steakhouse', 'legacy);', 'bedlam', 'coffee', '(try', 'their', 'lavender', 'mocha', 'with', 'chocolate', 'whipped);', 'catch', 'a', 'show', 'at', 'the', 'moore', 'theatre', 'which', 'is', ""seattle's"", 'oldest', 'operating', 'theatre', 'and', 'is', 'only', 'two', 'blocks', 'away;', 'hear', 'live', 'music', 'at', 'the', 'showbox;', 'go', 'dancing', 'at', 'sarejevo', 'which', 'is', 'right', 'across', 'the', 'street', 'and', 'you', 'can', 'see', 'it', 'from', 'the', 'condo;', 'get', 'up', 'early', 'and', 'head', 'to', 'the', 'original', 'starbucks', 'a', 'few', 'blocks', 'away;', 'go', 'for', 'a', 'stroll', 'on', 'the', 'beach', 'at', 'sculpture', 'park.', 'belltown', 'market', 'is', 'the', 'local', 'grocery', 'store', 'and', 'is', 'right', 'downstairs!', 'target', 'is', 'close,', 'as', 'is', 'westlake', 'mall.']"
1410,"['riteaid', 'convenience', 'store', 'attached', 'to', 'our', 'building', 'for', 'quick', 'access', 'to', 'any', 'necessities.']"
1411,"['located', 'in', 'belltown', 'court', 'between', 'first', 'and', 'second', 'avenue', 'and', 'wall', 'street', 'and', 'battery', 'street', 'in', 'the', 'belltown', 'area', 'of', 'downtown', 'seattle.', 'distance', 'to', 'the', 'waterfront,', 'pike', 'place', 'market,', 'art', 'museum,', 'aquarium,', 'science', 'center,', 'experience', 'music', 'project,', 'center,', 'space', 'needle,', 'and', 'key', 'arena.']"
1412,"['nestled', 'between', 'hotel', 'andra', 'and', 'the', 'warwick', 'you', 'are', 'in', 'an', 'amazing', 'location', 'for', 'a', 'fraction', 'of', 'what', 'these', 'neighboring', 'hotels', 'charge.', 'stays', 'at', 'the', 'virginian', 'offers', 'a', 'vacation', 'of', 'convenience.', 'being', 'located', 'at', 'the', 'south', 'end', 'of', 'the', 'belltown', 'puts', 'our', 'guests', 'within', 'distance', 'to', 'the', 'shopping', 'district', 'of', 'downtown', 'and', 'close', 'to', 'pike', 'place', 'market', 'and', 'the', 'waterfront.', 'nightlife', 'at', 'its', 'best!', 'belltown', 'is', 'the', 'epicenter', 'of', ""seattle's"", 'restaurant', 'scene,', 'with', 'nightclubs,', 'swanky', 'bars,', 'cool', 'boutiques', 'and', 'great', 'places', 'to', 'play.', 'distance', 'to', 'all', 'major', 'attractions,', 'and', 'just', 'a', 'short', 'bus', 'or', 'taxi', 'ride', 'to', 'the', 'rest.']"
1413,"['belltown', 'is', 'the', 'most', 'densely', 'populated', 'in', 'seattle,', 'washington,', 'united', 'states,', 'located', 'on', 'the', ""city's"", 'downtown', 'waterfront', 'on', 'land', 'that', 'was', 'artificially', 'flattened', 'as', 'part', 'of', 'a', 'regrading', 'project.', 'formerly', 'a', 'low-rent,', 'semi-industrial', 'arts', 'district,', 'in', 'recent', 'decades', 'it', 'has', 'transformed', 'into', 'a', 'of', 'trendy', 'restaurants,', 'boutiques,', 'nightclubs,', 'and', 'residential', 'towers', 'as', 'well', 'as', 'warehouses', 'and', 'art', 'galleries.', 'the', 'area', 'is', 'named', 'after', 'william', 'nathaniel', 'bell,', 'on', 'whose', 'land', 'claim', 'the', 'was', 'built.', 'in', '2007,', 'cnnmoney', 'named', 'belltown', 'the', 'best', 'place', 'to', 'retire', 'in', 'the', 'metro', 'area,', 'calling', 'it', '""a', 'walkable', 'with', 'everything', 'you', 'need.""', 'belltown', 'is', 'home', 'to', 'the', 'art', 'institute', 'of', 'seattle,', 'antioch', 'university,', 'argosy', 'university,', 'the', 'school', 'of', 'theology', '&', 'psychology', 'and', 'realnetworks', 'headquarters.', 'it', 'lies', 'directly', 'west', 'of', 'the', 'denny', 'triangle', 'neighborhood,', 'where', 'online', 'retailer', 'amazon', 'is', 'constructing', 'three', 'office', 'towers', 'to', 'house', 'its', 'downtown', 'headquarters,', 'and', 'where']"
1416,"['the', 'best', 'location', 'in', 'town!', 'located', '2', 'blocks', 'from', 'the', 'iconic', 'space', 'needle,', 'with', 'excellent', 'walk-score', 'of', '97!', 'you', 'can', 'go', 'anywhere', 'by', 'foot', ',', 'bike,', 'or', 'by', 'using', 'public', 'transit', 'services.', 'belltown', 'is', 'the', 'heart', 'of', 'downtown', 'seattle,', 'a', 'quiet', 'with', 'many', 'coffee', 'shops,', 'restaurants,', 'bars,', 'pubs', 'within', 'few', 'minutes', 'by', 'foot.', 'to', 'pike', 'place', 'market', '-', 'it', 'will', 'take', 'you', 'around', '10', 'minutes', 'to', 'to', 'the', 'market', 'where', 'you', 'can', 'enjoy', 'fresh', 'produce', 'and', 'many', 'lunch', 'options.', 'waterfront', 'is', '5', 'blocks', 'west,', 'where', 'you', 'can', 'walk,', 'jog,', 'bike,', 'or', 'relax', 'on', 'the', 'bench', 'or', 'lawn.', 'city', 'center', 'is', '5', 'blocks', 'south,', 'where', 'you', 'can', 'find', 'many', 'options', 'for', 'dining', 'and', 'shopping', 'and', 'entertainment.', 'sports', 'fan', 'can', 'take', 'a', 'short', 'ride', 'on', 'bus,', 'or', 'for', '25', 'minutes', 'to', 'get', 'to', 'the', 'sodo', 'area', 'where', 'the', 'action', 'of', 'nfl,', 'mlb', 'and', 'mls', 'take', 'place.']"
1417,"['located', 'next', 'door', 'to', 'the', 'thompson', 'hotel', 'and', 'above', 'the', 'design', 'within', 'reach', 'store', 'and', 'many', 'high-end', 'boutiques,', 'this', 'chic', 'is', 'just', 'a', 'few', 'steps', 'away', 'from', 'the', 'original', 'starbucks', 'for', 'a', 'coffee', 'and', 'pastry', 'to', 'start', 'your', 'day.', ""seattle's"", 'pike', 'place', 'market', 'is', 'literally', 'across', 'the', 'street.', 'centrally', 'located', 'in', 'belltown,', 'downtown,', 'the', 'waterfront', 'pier', 'and', 'the', 'iconic', 'pike', 'place', 'market', 'where', 'you', 'can', 'shop', 'for', 'the', 'best', 'produce', 'or', 'seafood', 'in', 'the', 'city', 'or', 'enjoy', 'the', 'fantastic', 'restaurants', 'within', 'minutes', 'of', 'your', 'home', 'in', 'seattle.', 'continue', 'down', '1st', 'avenue', 'a', 'few', 'blocks', 'to', 'the', 'art', 'museum', 'and', 'a', 'few', 'blocks', 'further', 'to', 'pioneer', 'square', 'and', 'the', 'sports', 'arenas', 'and', 'stadiums', '(century', 'link', 'and', 'safeco', 'field).', 'south', 'lake', 'union', 'is', 'just', 'blocks', 'away', 'with', 'even', 'more', 'restaurants,', 'whole', 'foods,', 'shops', 'etc.']"
1418,"['about', 'belltown.', 'so', 'many', 'words', 'that', 'come', 'to', 'mind,', 'and', 'a', 'few', ""i've"", 'heard', 'are:', 'amazing,', 'eclectic,', 'energized,', 'caffeinated,', 'foodie', 'heaven,', 'multicultural,', 'and', 'beautiful.....', 'seriously,', 'there', 'is', 'an', 'abundance', 'of', 'things', 'to', 'do', 'and', 'restaurants', 'to', 'try,', 'and', 'there', 'are', 'young', 'people', 'everywhere.', '97/100', 'score', 'these', 'are', 'things', 'that', 'you', 'should', 'probably', 'do', 'if', 'you', 'want', 'to', 'experience', 'seattle,', 'and', 'dont', 'have', 'that', 'much', 'time...and', 'the', '$', 'it', 'to', 'do', 'them:', '-', 'pike', 'place', '-', '3', 'blocks', 'away', '(free)', '-space', 'needle', '-1', 'mile', 'away-', 'tickets', 'adults', '$19,', 'if', 'you', 'add', 'chihuly', 'garden', 'and', 'glass', 'its', '$34', 'online,', '$36', 'on', 'site', '-ride', 'the', 'duck', 'pickup', 'location-1', 'mile', 'away,', '$29', 'for', 'adults,', '$18', 'for', 'children', 'for', '90', 'minute', 'land', 'and', 'water', 'tour', '-emp(music', 'project)-', '$22', 'for', 'adults,', '$16', 'for', 'youth', '-seattle', 'art', 'museum-', '1', 'mile-', '$15-$25,', 'depending', 'on', 'the', 'exhibit', 'and', 'time', 'of', 'day/week', '-asian', 'art', 'museum', '(represent', 'all', 'my', 'asian', 'brothers', 'and', 'sisters', ':)', ')', '-seattle', 'great', 'wheel-.6', 'blocks', 'away-', '$13', 'for', 'adults', '-woodland', 'park', 'zoo-', 'adults', '$20', '-clipper', 'vacat']"
1420,"['with', 'a', 'score', 'of', '95', 'it', 'is', 'a', 'quick', 'to', 'the', 'grocery,', 'dining,', 'shopping,', 'theater', 'and', 'night', 'life!', 'mere', 'blocks', 'from', 'the', 'space', 'needle', 'and', 'the', 'center', 'with', 'the', 'experience', 'music', 'project,', 'the', 'pacific', 'science', 'center,', 'and', ""chihuly's"", 'gardens', 'and', 'glass.', 'stroll', 'down', 'to', 'pike', 'place', 'market', 'and', 'get', 'everything', 'you', 'need', 'to', 'make', 'a', 'local,', 'home-cooked', 'meal', 'in', 'your', 'fully', 'equipped', 'kitchen.', 'eat', 'at', 'the', 'cozy', 'breakfast', 'bar', 'or', 'on', 'your', 'private', 'deck.']"
1421,"['located', 'between', 'the', 'retail', 'core', 'and', 'center,', 'belltown', 'is', 'one', 'of', ""seattle's"", 'most', 'hip,', 'youthful', 'neighborhoods', 'and', 'contains', 'much', 'of', 'downtown', ""seattle's"", 'residential', 'base.', 'home', 'to', 'a', 'mix', 'of', 'jazz', 'and', 'rock', 'venues,', 'pool', 'halls,', 'cafes,', 'unique', 'boutiques', 'and', 'thrift', 'shops,', 'this', 'vibrant', 'also', 'plays', 'host', 'to', 'many', 'of', ""downtown's"", 'hottest', 'restaurants,', 'bars', 'and', 'nightclubs.']"
1422,"['great', 'local', 'with', 'plenty', 'of', 'venues', 'for', 'live', 'music', 'and', 'tons', 'of', 'great', 'local', 'restaurants.', 'within', 'a', '1', 'block', 'radius:', 'roccos', '-', 'phenomenal', 'pizza!', ""mamma's"", 'mexican', 'crocodile', '-', 'great', '$5', 'dollar', 'happy', 'hour', 'and', 'amazing', 'music', 'venue.', 'pintxo', '-', 'great', 'bites', 'of', 'specialty', 'foods', 'bear', 'and', 'the', 'bee', '-', 'sandwich', 'shop', 'cafe', 'belltown', '-', 'sandwiches', 'and', 'coffee', ""shorty's"", '-', 'local', 'pub', 'and', 'pinball', 'bar', 'lava', 'lounge', '-', 'local', 'pub', 'rabbit', 'hole', '-', 'local', 'pub', 'whiskey', 'bar', '-', 'best', 'lamb', 'burger', 'around.', 'spur', 'gastro', 'pub', '-', 'restaurant', 'la', 'siciliana', '-', 'italian', 'restaurant', 'bathtub', 'gin', '-', 'very', 'cool', 'ducked', 'off', 'bar.', 'look', 'in', 'the', 'blanchard', 'street', 'cross', 'alley', 'between', '1st', 'and', '2nd.', ""there's"", 'no', 'sign.', 'just', 'a', 'door', 'and', 'a', 'placard.', 'positioned', 'off', 'to', 'the', 'side', 'of', 'some', 'garbage', 'cans.', 'trust', 'me,', ""it's"", 'worth', 'it.', 'bedlam', '-', 'local', 'coffee', 'shop.']"
1423,"['distance', 'or', '$5-8', 'cab', 'ride', 'to', 'pike', 'place', 'market,', 'downtown', 'seattle,', 'center,', 'space', 'needle,', 'emp,', 'popular', 'club/bar', 'area', 'belltown,', 'waterfront/pier/big', 'wheel,', 'cruise', 'terminals,', 'water', 'taxi', 'to', 'alki', 'beach,', 'edwards', 'myrtle', 'park,', 'sculpture', 'park,', 'sam', '(seattle', 'art', 'museum),', 'historic', 'pioneer', 'square', 'where', 'you', 'can', 'see', 'the', 'underground', 'tour,', 'safeco', 'field', ""(mariner's),"", 'quest', 'field', ""(sounder's"", '&', ""seahawk's),"", 'wamu', 'theater', '(seattle', 'events/concerts/shows),', 'convention', 'center']"
1425,"['close', 'to', 'everything', 'including:', '*', 'the', 'space', 'needle', '*', 'pike', 'place', 'market', '*', 'victoria', 'clipper', '*', 'experience', 'music', 'project', 'museum', '(emp)', '*', 'ferries', '*', 'center', '*', 'olympic', 'sculpture', 'park', '*', 'waterfront', 'boardwalk', '*', 'aquarium', '*', 'premium', 'shopping', '*', 'trendiest', 'dining', 'only', 'a', 'few', 'steps', 'away!']"
1427,"['belltown', 'is', 'the', 'epicenter', 'of', ""seattle's"", 'restaurant', 'scene,', 'with', 'hot', 'nightclubs,', 'cool', 'shops,', 'and', 'sits', 'next', 'to', 'art,', 'parks,', 'and', 'many', 'of', ""seattle's"", 'iconic', 'tourist', 'destinations,', 'such', 'as', 'the', 'space', 'needle.']"
1428,"['quiet', 'hours', 'are', '10pm', '–', '8am.', 'this', 'is', 'a', 'residential', 'building', 'primarily', 'owner', 'occupied.', 'please', 'keep', 'voices,', 'televisions,', 'and', 'radios', 'at', 'an', 'acceptable', 'level', 'at', 'all', 'times.', 'no', 'smoking!', 'smoking', 'is', 'not', 'allowed', 'in', 'the', 'unit,', 'on', 'the', 'balcony', 'or', 'on', 'any', 'premise', 'of', 'the', 'building.', 'please', 'respect', 'this', 'rule', 'for', 'the', 'enjoyment', 'of', 'our', 'future', 'guests', 'as', 'well', 'as', 'the', 'residents', 'of', 'the', 'building.', 'you', 'must', 'exit', 'the', 'building', 'and', 'smoke', 'at', 'least', '25', 'feet', 'from', 'any', 'public', 'entrances', '(washington', 'state', 'law).', 'also', 'please', 'note', 'that', 'smoking', 'is', 'prohibited', 'on', 'the', 'rooftop', 'deck', 'and', 'in', 'the', 'parking', 'garage.', 'due', 'to', 'insurance', 'reasons,', 'the', 'responsible', 'party', '(reservation', 'holder)', 'needs', 'to', 'be', 'at', 'least', '25', 'years', 'of', 'age.']"
1429,"['the', 'heart', 'of', ""seattle's"", 'downtown']"
1431,"['score', '98/100']"
1434,"['very', 'prized', 'location,', 'high', 'score...almost', 'a', 'perfect', '100!']"
1435,"['is', 'called', 'belltown', '(north', 'end', 'of', 'downtown)', 'and', 'this', 'apartment', 'is', 'directly', 'across', 'the', 'street', 'from', 'the', 'sculpture', 'park', 'and', 'overlooking', 'the', 'sound', 'and', 'olympic', 'mountains.']"
1436,"['the', 'is', 'so', 'fun!', 'located', 'in', 'between', 'the', 'space', 'needle', 'and', 'pike', 'place', 'market', 'and', 'a', 'few', 'blocks', 'to', 'the', 'waterfront.', 'you', 'can', 'to', 'all', 'of', 'the', 'hot', 'spots.', 'there', 'are', 'tons', 'of', 'restaurants', 'as', 'well!']"
1437,"['we', 'love', 'being', 'in', 'the', 'thick', 'of', 'things', 'and', 'if', 'you', 'do', 'then', ""you'll"", 'love', 'staying', 'in', 'our', 'neighborhood.', 'all', 'the', 'amentities', 'that', 'come', 'with', 'city', 'life', 'from', 'food', 'to', 'entertainment', 'are', 'literally', 'right', 'out', 'the', 'door.', 'that', 'said,', 'there', 'is', 'also', 'all', 'the', 'buzz', 'that', 'surrounds', 'living', 'in', 'the', 'city', 'so', 'you', 'should', 'know', 'that', 'going', 'in.', 'we', 'are', 'on', 'the', 'sixth', 'floor', 'and', ""haven't"", 'ourselves', 'been', 'disturbed,', 'but', 'some', 'of', 'the', 'energetic', 'nightlife', 'and', 'other', 'ambient', 'noise', 'can', 'be', 'expected.']"
1438,"['the', 'is', 'very', 'centrally', 'located', 'to', 'everything', 'in', 'and', 'most', 'of', 'the', 'main', 'attractions', 'are', 'all', 'within', 'distance.', 'belltown', 'is', 'also', 'one', 'of', ""seattle's"", 'most', 'hip,', 'youthful', 'neighborhoods', 'and', 'contains', 'much', 'of', 'downtown', ""seattle's"", 'residential', 'base.']"
1440,"['belltown', 'is', 'full', 'of', 'restaurants,', 'bars,', 'cafes,', 'art', 'galleries,', 'and', 'music', 'venues.', 'from', 'the', 'crocodile', 'to', 'the', 'moore', 'theatre,', 'from', 'pike', 'place', 'market', 'to', 'the', 'space', 'needle,', 'from', ""shorty's"", 'to', 'the', 'upstairs,', 'from', 'a', 'tuesday', 'night', 'to', 'a', 'saturday', 'afternoon,', 'there', 'is', 'something', 'for', 'everyone!']"
